1.275	 & 0.025 & 	0.484375	 & 0.015625	 & 0.673891	 & 0.0197419	 & 0.0433512 \\ 
1.525	 & 0.025 & 	0.640625	 & 0.015625	 & 0.682503	 & 0.0170462	 & 0.0452458 \\ 
1.525	 & 0.025 & 	0.671875	 & 0.015625	 & 0.817356	 & 0.0203826	 & 0.0541857 \\ 
1.525	 & 0.025 & 	0.703125	 & 0.015625	 & 1.06554	 & 0.0262172	 & 0.0706385 \\ 
1.525	 & 0.025 & 	0.734375	 & 0.015625	 & 1.35609	 & 0.0367011	 & 0.0899005 \\ 
1.525	 & 0.025 & 	0.765625	 & 0.015625	 & 1.68609	 & 0.0541126	 & 0.111777 \\ 
1.525	 & 0.025 & 	0.796875	 & 0.015625	 & 1.73347	 & 0.0787254	 & 0.114918 \\ 
1.525	 & 0.025 & 	0.828125	 & 0.015625	 & 0.694612	 & 0.0758054	 & 0.0460486 \\ 
1.575	 & 0.025 & 	0.390625	 & 0.015625	 & 0.136539	 & 0.00994496	 & 0.00910725 \\ 
1.575	 & 0.025 & 	0.421875	 & 0.015625	 & 0.0967771	 & 0.00736062	 & 0.00645508 \\ 
1.575	 & 0.025 & 	0.453125	 & 0.015625	 & 0.104249	 & 0.00679368	 & 0.00695344 \\ 
1.575	 & 0.025 & 	0.484375	 & 0.015625	 & 0.115277	 & 0.00668515	 & 0.00768901 \\ 
1.575	 & 0.025 & 	0.515625	 & 0.015625	 & 0.165025	 & 0.00773108	 & 0.0110073 \\ 
1.575	 & 0.025 & 	0.546875	 & 0.015625	 & 0.222173	 & 0.00879238	 & 0.014819 \\ 
1.575	 & 0.025 & 	0.578125	 & 0.015625	 & 0.307655	 & 0.0106112	 & 0.0205207 \\ 
1.575	 & 0.025 & 	0.609375	 & 0.015625	 & 0.433572	 & 0.013586	 & 0.0289195 \\ 
1.575	 & 0.025 & 	0.640625	 & 0.015625	 & 0.548582	 & 0.0169667	 & 0.0365907 \\ 
1.575	 & 0.025 & 	0.671875	 & 0.015625	 & 0.712419	 & 0.0211594	 & 0.0475187 \\ 
1.575	 & 0.025 & 	0.703125	 & 0.015625	 & 0.904046	 & 0.0268399	 & 0.0603003 \\ 
1.575	 & 0.025 & 	0.734375	 & 0.015625	 & 1.16908	 & 0.0384025	 & 0.077978 \\ 
1.575	 & 0.025 & 	0.765625	 & 0.015625	 & 1.31952	 & 0.0519883	 & 0.0880126 \\ 
1.575	 & 0.025 & 	0.796875	 & 0.015625	 & 1.60995	 & 0.083535	 & 0.107384 \\ 
1.575	 & 0.025 & 	0.828125	 & 0.015625	 & 0.584247	 & 0.0697516	 & 0.0389696 \\ 
1.625	 & 0.025 & 	0.390625	 & 0.015625	 & 0.109502	 & 0.00779834	 & 0.00734881 \\ 
1.625	 & 0.025 & 	0.421875	 & 0.015625	 & 0.104817	 & 0.00697615	 & 0.00703442 \\ 
1.625	 & 0.025 & 	0.453125	 & 0.015625	 & 0.106813	 & 0.00634563	 & 0.00716835 \\ 
1.625	 & 0.025 & 	0.484375	 & 0.015625	 & 0.113424	 & 0.00631172	 & 0.00761207 \\ 
1.625	 & 0.025 & 	0.515625	 & 0.015625	 & 0.163899	 & 0.0072717	 & 0.0109995 \\ 
1.625	 & 0.025 & 	0.546875	 & 0.015625	 & 0.229425	 & 0.00867493	 & 0.0153971 \\ 
1.625	 & 0.025 & 	0.578125	 & 0.015625	 & 0.340674	 & 0.0108999	 & 0.0228631 \\ 
1.625	 & 0.025 & 	0.609375	 & 0.015625	 & 0.481053	 & 0.0140093	 & 0.0322841 \\ 
1.625	 & 0.025 & 	0.640625	 & 0.015625	 & 0.600858	 & 0.0171123	 & 0.0403245 \\ 
1.625	 & 0.025 & 	0.671875	 & 0.015625	 & 0.750771	 & 0.0209836	 & 0.0503853 \\ 
1.625	 & 0.025 & 	0.703125	 & 0.015625	 & 0.974735	 & 0.0275827	 & 0.0654158 \\ 
1.625	 & 0.025 & 	0.734375	 & 0.015625	 & 1.02727	 & 0.0324485	 & 0.0689414 \\ 
1.625	 & 0.025 & 	0.765625	 & 0.015625	 & 1.45477	 & 0.0540166	 & 0.0976316 \\ 
1.625	 & 0.025 & 	0.796875	 & 0.015625	 & 1.62741	 & 0.0818542	 & 0.109218 \\ 
1.625	 & 0.025 & 	0.828125	 & 0.015625	 & 0.684939	 & 0.0780676	 & 0.0459672 \\ 
1.675	 & 0.025 & 	0.390625	 & 0.015625	 & 0.109418	 & 0.00818562	 & 0.00738864 \\ 
1.675	 & 0.025 & 	0.421875	 & 0.015625	 & 0.0920195	 & 0.00692552	 & 0.00621377 \\ 
1.675	 & 0.025 & 	0.453125	 & 0.015625	 & 0.0949076	 & 0.00628981	 & 0.00640879 \\ 
1.675	 & 0.025 & 	0.484375	 & 0.015625	 & 0.116568	 & 0.00667331	 & 0.00787148 \\ 
1.675	 & 0.025 & 	0.515625	 & 0.015625	 & 0.154427	 & 0.00752912	 & 0.0104279 \\ 
1.675	 & 0.025 & 	0.546875	 & 0.015625	 & 0.222211	 & 0.00917828	 & 0.0150052 \\ 
1.675	 & 0.025 & 	0.578125	 & 0.015625	 & 0.290278	 & 0.0107291	 & 0.0196015 \\ 
1.675	 & 0.025 & 	0.609375	 & 0.015625	 & 0.408581	 & 0.0136565	 & 0.0275901 \\ 
1.675	 & 0.025 & 	0.640625	 & 0.015625	 & 0.533898	 & 0.0174088	 & 0.0360523 \\ 
1.675	 & 0.025 & 	0.671875	 & 0.015625	 & 0.637413	 & 0.0212089	 & 0.0430424 \\ 
1.675	 & 0.025 & 	0.703125	 & 0.015625	 & 0.784016	 & 0.026145	 & 0.052942 \\ 
1.675	 & 0.025 & 	0.734375	 & 0.015625	 & 0.991016	 & 0.036504	 & 0.06692 \\ 
1.675	 & 0.025 & 	0.765625	 & 0.015625	 & 1.31033	 & 0.056382	 & 0.088482 \\ 
1.675	 & 0.025 & 	0.796875	 & 0.015625	 & 1.58657	 & 0.0838193	 & 0.107136 \\ 
1.675	 & 0.025 & 	0.828125	 & 0.015625	 & 0.563592	 & 0.0681977	 & 0.0380575 \\ 
1.725	 & 0.025 & 	0.359375	 & 0.015625	 & 0.0911173	 & 0.00754032	 & 0.00619107 \\ 
1.725	 & 0.025 & 	0.390625	 & 0.015625	 & 0.0827605	 & 0.00647625	 & 0.00562326 \\ 
1.725	 & 0.025 & 	0.421875	 & 0.015625	 & 0.0686384	 & 0.00521649	 & 0.00466371 \\ 
1.725	 & 0.025 & 	0.453125	 & 0.015625	 & 0.0766862	 & 0.00526298	 & 0.00521053 \\ 
1.725	 & 0.025 & 	0.484375	 & 0.015625	 & 0.0809106	 & 0.00508409	 & 0.00549756 \\ 
1.725	 & 0.025 & 	0.515625	 & 0.015625	 & 0.116833	 & 0.00613825	 & 0.00793837 \\ 
1.725	 & 0.025 & 	0.546875	 & 0.015625	 & 0.174502	 & 0.00756564	 & 0.0118567 \\ 
1.725	 & 0.025 & 	0.578125	 & 0.015625	 & 0.238825	 & 0.00933903	 & 0.0162272 \\ 
1.725	 & 0.025 & 	0.609375	 & 0.015625	 & 0.312535	 & 0.0112123	 & 0.0212355 \\ 
1.725	 & 0.025 & 	0.640625	 & 0.015625	 & 0.418945	 & 0.0145189	 & 0.0284657 \\ 
1.725	 & 0.025 & 	0.671875	 & 0.015625	 & 0.558644	 & 0.019224	 & 0.0379577 \\ 
1.725	 & 0.025 & 	0.703125	 & 0.015625	 & 0.697212	 & 0.0243054	 & 0.0473729 \\ 
1.725	 & 0.025 & 	0.734375	 & 0.015625	 & 0.743224	 & 0.0294712	 & 0.0504992 \\ 
1.725	 & 0.025 & 	0.765625	 & 0.015625	 & 1.06904	 & 0.0471415	 & 0.0726368 \\ 
1.725	 & 0.025 & 	0.796875	 & 0.015625	 & 1.01814	 & 0.0618608	 & 0.0691785 \\ 
1.775	 & 0.025 & 	0.359375	 & 0.015625	 & 0.110595	 & 0.00766392	 & 0.00756134 \\ 
1.775	 & 0.025 & 	0.390625	 & 0.015625	 & 0.0972666	 & 0.00631185	 & 0.00665009 \\ 
1.775	 & 0.025 & 	0.421875	 & 0.015625	 & 0.0934616	 & 0.00569979	 & 0.00638994 \\ 
1.775	 & 0.025 & 	0.453125	 & 0.015625	 & 0.0857116	 & 0.00500787	 & 0.00586007 \\ 
1.775	 & 0.025 & 	0.484375	 & 0.015625	 & 0.103743	 & 0.0054063	 & 0.00709289 \\ 
1.775	 & 0.025 & 	0.515625	 & 0.015625	 & 0.141213	 & 0.00629534	 & 0.0096547 \\ 
1.775	 & 0.025 & 	0.546875	 & 0.015625	 & 0.194275	 & 0.00749606	 & 0.0132825 \\ 
1.775	 & 0.025 & 	0.578125	 & 0.015625	 & 0.260302	 & 0.00907602	 & 0.0177968 \\ 
1.775	 & 0.025 & 	0.609375	 & 0.015625	 & 0.371252	 & 0.0118429	 & 0.0253824 \\ 
1.775	 & 0.025 & 	0.640625	 & 0.015625	 & 0.474236	 & 0.0145542	 & 0.0324234 \\ 
1.775	 & 0.025 & 	0.671875	 & 0.015625	 & 0.591562	 & 0.01871	 & 0.0404449 \\ 
1.775	 & 0.025 & 	0.703125	 & 0.015625	 & 0.73823	 & 0.0233322	 & 0.0504725 \\ 
1.775	 & 0.025 & 	0.734375	 & 0.015625	 & 0.901153	 & 0.0307848	 & 0.0616116 \\ 
1.775	 & 0.025 & 	0.765625	 & 0.015625	 & 1.129	 & 0.0451774	 & 0.0771891 \\ 
1.775	 & 0.025 & 	0.796875	 & 0.015625	 & 1.24979	 & 0.0670069	 & 0.0854477 \\ 
1.775	 & 0.025 & 	0.828125	 & 0.015625	 & 0.524479	 & 0.0546755	 & 0.0358584 \\ 
1.825	 & 0.025 & 	0.359375	 & 0.015625	 & 0.106682	 & 0.00703092	 & 0.00733942 \\ 
1.825	 & 0.025 & 	0.390625	 & 0.015625	 & 0.107661	 & 0.00630371	 & 0.00740682 \\ 
1.825	 & 0.025 & 	0.421875	 & 0.015625	 & 0.101378	 & 0.00550163	 & 0.00697452 \\ 
1.825	 & 0.025 & 	0.453125	 & 0.015625	 & 0.105056	 & 0.00537303	 & 0.00722756 \\ 
1.825	 & 0.025 & 	0.484375	 & 0.015625	 & 0.120042	 & 0.00566403	 & 0.00825857 \\ 
1.825	 & 0.025 & 	0.515625	 & 0.015625	 & 0.143481	 & 0.00622244	 & 0.0098711 \\ 
1.825	 & 0.025 & 	0.546875	 & 0.015625	 & 0.200816	 & 0.00758899	 & 0.0138156 \\ 
1.825	 & 0.025 & 	0.578125	 & 0.015625	 & 0.262518	 & 0.00897413	 & 0.0180605 \\ 
1.825	 & 0.025 & 	0.609375	 & 0.015625	 & 0.343205	 & 0.0108981	 & 0.0236116 \\ 
1.825	 & 0.025 & 	0.640625	 & 0.015625	 & 0.481341	 & 0.0143437	 & 0.033115 \\ 
1.825	 & 0.025 & 	0.671875	 & 0.015625	 & 0.580529	 & 0.0180903	 & 0.0399389 \\ 
1.825	 & 0.025 & 	0.703125	 & 0.015625	 & 0.728317	 & 0.0231931	 & 0.0501063 \\ 
1.825	 & 0.025 & 	0.734375	 & 0.015625	 & 0.819402	 & 0.0277509	 & 0.0563727 \\ 
1.825	 & 0.025 & 	0.765625	 & 0.015625	 & 0.945719	 & 0.0388202	 & 0.065063 \\ 
1.825	 & 0.025 & 	0.796875	 & 0.015625	 & 1.0822	 & 0.0562963	 & 0.0744526 \\ 
1.875	 & 0.025 & 	0.328125	 & 0.015625	 & 0.152072	 & 0.0107861	 & 0.0105278 \\ 
1.875	 & 0.025 & 	0.359375	 & 0.015625	 & 0.130716	 & 0.00862656	 & 0.00904933 \\ 
1.875	 & 0.025 & 	0.390625	 & 0.015625	 & 0.117816	 & 0.00711576	 & 0.00815629 \\ 
1.875	 & 0.025 & 	0.421875	 & 0.015625	 & 0.114587	 & 0.00655932	 & 0.00793271 \\ 
1.875	 & 0.025 & 	0.453125	 & 0.015625	 & 0.118385	 & 0.00634704	 & 0.00819565 \\ 
1.875	 & 0.025 & 	0.484375	 & 0.015625	 & 0.137126	 & 0.00684992	 & 0.00949311 \\ 
1.875	 & 0.025 & 	0.515625	 & 0.015625	 & 0.179764	 & 0.0081121	 & 0.0124449 \\ 
1.875	 & 0.025 & 	0.546875	 & 0.015625	 & 0.214767	 & 0.00899992	 & 0.0148681 \\ 
1.875	 & 0.025 & 	0.578125	 & 0.015625	 & 0.307456	 & 0.0115058	 & 0.0212849 \\ 
1.875	 & 0.025 & 	0.609375	 & 0.015625	 & 0.341945	 & 0.012382	 & 0.0236725 \\ 
1.875	 & 0.025 & 	0.640625	 & 0.015625	 & 0.441071	 & 0.0156701	 & 0.0305349 \\ 
1.875	 & 0.025 & 	0.671875	 & 0.015625	 & 0.569587	 & 0.0207296	 & 0.0394319 \\ 
1.875	 & 0.025 & 	0.703125	 & 0.015625	 & 0.704498	 & 0.0268032	 & 0.0487717 \\ 
1.875	 & 0.025 & 	0.734375	 & 0.015625	 & 0.842516	 & 0.032774	 & 0.0583265 \\ 
1.875	 & 0.025 & 	0.765625	 & 0.015625	 & 1.10636	 & 0.0506828	 & 0.0765919 \\ 
1.875	 & 0.025 & 	0.796875	 & 0.015625	 & 1.22832	 & 0.0747278	 & 0.0850353 \\ 
1.875	 & 0.025 & 	0.828125	 & 0.015625	 & 0.495999	 & 0.0611308	 & 0.0343375 \\ 
1.925	 & 0.025 & 	0.328125	 & 0.015625	 & 0.113821	 & 0.00743841	 & 0.00792932 \\ 
1.925	 & 0.025 & 	0.359375	 & 0.015625	 & 0.127943	 & 0.00741757	 & 0.00891309 \\ 
1.925	 & 0.025 & 	0.390625	 & 0.015625	 & 0.11006	 & 0.00596674	 & 0.00766731 \\ 
1.925	 & 0.025 & 	0.421875	 & 0.015625	 & 0.119054	 & 0.00576535	 & 0.00829381 \\ 
1.925	 & 0.025 & 	0.453125	 & 0.015625	 & 0.120618	 & 0.00569356	 & 0.00840279 \\ 
1.925	 & 0.025 & 	0.484375	 & 0.015625	 & 0.136164	 & 0.00599873	 & 0.00948582 \\ 
1.925	 & 0.025 & 	0.515625	 & 0.015625	 & 0.159563	 & 0.00675322	 & 0.0111159 \\ 
1.925	 & 0.025 & 	0.546875	 & 0.015625	 & 0.198285	 & 0.00784699	 & 0.0138134 \\ 
1.925	 & 0.025 & 	0.578125	 & 0.015625	 & 0.266572	 & 0.00957367	 & 0.0185706 \\ 
1.925	 & 0.025 & 	0.609375	 & 0.015625	 & 0.325514	 & 0.0110128	 & 0.0226768 \\ 
1.925	 & 0.025 & 	0.640625	 & 0.015625	 & 0.41828	 & 0.0139169	 & 0.0291393 \\ 
1.925	 & 0.025 & 	0.671875	 & 0.015625	 & 0.523044	 & 0.0184078	 & 0.0364377 \\ 
1.925	 & 0.025 & 	0.703125	 & 0.015625	 & 0.649186	 & 0.0226351	 & 0.0452253 \\ 
1.925	 & 0.025 & 	0.734375	 & 0.015625	 & 0.743505	 & 0.0281303	 & 0.0517959 \\ 
1.925	 & 0.025 & 	0.765625	 & 0.015625	 & 0.885649	 & 0.0390141	 & 0.0616984 \\ 
1.925	 & 0.025 & 	0.796875	 & 0.015625	 & 1.08479	 & 0.0582134	 & 0.0755717 \\ 
1.925	 & 0.025 & 	0.828125	 & 0.015625	 & 0.403054	 & 0.0462935	 & 0.0280786 \\ 
1.975	 & 0.025 & 	0.328125	 & 0.015625	 & 0.173016	 & 0.0103243	 & 0.0121291 \\ 
1.975	 & 0.025 & 	0.359375	 & 0.015625	 & 0.154061	 & 0.00863208	 & 0.0108003 \\ 
1.975	 & 0.025 & 	0.390625	 & 0.015625	 & 0.160661	 & 0.00783781	 & 0.0112629 \\ 
1.975	 & 0.025 & 	0.421875	 & 0.015625	 & 0.147556	 & 0.00717193	 & 0.0103443 \\ 
1.975	 & 0.025 & 	0.453125	 & 0.015625	 & 0.179123	 & 0.00771826	 & 0.0125572 \\ 
1.975	 & 0.025 & 	0.484375	 & 0.015625	 & 0.183263	 & 0.00791206	 & 0.0128475 \\ 
1.975	 & 0.025 & 	0.515625	 & 0.015625	 & 0.194507	 & 0.00831993	 & 0.0136357 \\ 
1.975	 & 0.025 & 	0.546875	 & 0.015625	 & 0.232215	 & 0.00941036	 & 0.0162792 \\ 
1.975	 & 0.025 & 	0.578125	 & 0.015625	 & 0.323608	 & 0.0117223	 & 0.0226862 \\ 
1.975	 & 0.025 & 	0.609375	 & 0.015625	 & 0.39186	 & 0.0135775	 & 0.0274709 \\ 
1.975	 & 0.025 & 	0.640625	 & 0.015625	 & 0.46824	 & 0.0163224	 & 0.0328255 \\ 
1.975	 & 0.025 & 	0.671875	 & 0.015625	 & 0.600463	 & 0.0217773	 & 0.0420948 \\ 
1.975	 & 0.025 & 	0.703125	 & 0.015625	 & 0.825329	 & 0.030245	 & 0.0578588 \\ 
1.975	 & 0.025 & 	0.734375	 & 0.015625	 & 0.95321	 & 0.0359786	 & 0.0668238 \\ 
1.975	 & 0.025 & 	0.765625	 & 0.015625	 & 1.04006	 & 0.0469293	 & 0.0729124 \\ 
1.975	 & 0.025 & 	0.796875	 & 0.015625	 & 1.05783	 & 0.0617011	 & 0.0741583 \\ 
1.975	 & 0.025 & 	0.828125	 & 0.015625	 & 0.550545	 & 0.0642326	 & 0.0385954 \\ 
2.025	 & 0.025 & 	0.328125	 & 0.015625	 & 0.126326	 & 0.00761698	 & 0.00891195 \\ 
2.025	 & 0.025 & 	0.359375	 & 0.015625	 & 0.141332	 & 0.00722758	 & 0.00997057 \\ 
2.025	 & 0.025 & 	0.390625	 & 0.015625	 & 0.123187	 & 0.00623476	 & 0.00869051 \\ 
2.025	 & 0.025 & 	0.421875	 & 0.015625	 & 0.138221	 & 0.00620239	 & 0.00975107 \\ 
2.025	 & 0.025 & 	0.453125	 & 0.015625	 & 0.134518	 & 0.00586612	 & 0.00948984 \\ 
2.025	 & 0.025 & 	0.484375	 & 0.015625	 & 0.150034	 & 0.00661894	 & 0.0105845 \\ 
2.025	 & 0.025 & 	0.515625	 & 0.015625	 & 0.156622	 & 0.00681856	 & 0.0110492 \\ 
2.025	 & 0.025 & 	0.546875	 & 0.015625	 & 0.172928	 & 0.00741737	 & 0.0121996 \\ 
2.025	 & 0.025 & 	0.578125	 & 0.015625	 & 0.22036	 & 0.00883255	 & 0.0155458 \\ 
2.025	 & 0.025 & 	0.609375	 & 0.015625	 & 0.328652	 & 0.0116858	 & 0.0231854 \\ 
2.025	 & 0.025 & 	0.640625	 & 0.015625	 & 0.384915	 & 0.0136651	 & 0.0271546 \\ 
2.025	 & 0.025 & 	0.671875	 & 0.015625	 & 0.453841	 & 0.0169576	 & 0.0320172 \\ 
2.025	 & 0.025 & 	0.703125	 & 0.015625	 & 0.593646	 & 0.0226591	 & 0.04188 \\ 
2.025	 & 0.025 & 	0.734375	 & 0.015625	 & 0.666124	 & 0.0279365	 & 0.0469932 \\ 
2.025	 & 0.025 & 	0.765625	 & 0.015625	 & 0.874231	 & 0.0412007	 & 0.0616744 \\ 
2.025	 & 0.025 & 	0.796875	 & 0.015625	 & 0.9509	 & 0.0551152	 & 0.0670833 \\ 
2.025	 & 0.025 & 	0.828125	 & 0.015625	 & 0.285145	 & 0.0382341	 & 0.0201162 \\ 
2.075	 & 0.025 & 	0.296875	 & 0.015625	 & 0.12819	 & 0.00814005	 & 0.00910075 \\ 
